ssid,bssid,index
ap-nttu,08:5b:0e:0f:c1:b3,0
ap2-nttu,1a:5b:0e:0f:c1:b3,1
eduroam,2a:5b:0e:0f:c1:b3,2
nttu,3a:5b:0e:0f:c1:b3,3
ap-nttu,48:3a:02:00:ac:48,4
ap2-nttu,48:3a:02:00:ac:49,5
eduroam,48:3a:02:00:ac:4a,6
ap-nttu,48:3a:02:00:ac:50,7
ap2-nttu,48:3a:02:00:ac:51,8
eduroam,48:3a:02:00:ac:52,9
nttu,48:3a:02:00:ac:53,10
ap-nttu,48:3a:02:00:b0:e8,11
ap2-nttu,48:3a:02:00:b0:e9,12
eduroam,48:3a:02:00:b0:ea,13
ap-nttu,48:3a:02:01:2e:10,14
ap2-nttu,48:3a:02:01:2e:11,15
eduroam,48:3a:02:01:2e:12,16
nttu,48:3a:02:01:2e:13,17
ap-nttu,48:3a:02:01:4e:30,18
ap2-nttu,48:3a:02:01:4e:31,19
eduroam,48:3a:02:01:4e:32,20
nttu,48:3a:02:01:4e:33,21
ap-nttu,48:3a:02:13:df:d0,22
ap2-nttu,48:3a:02:13:df:d1,23
eduroam,48:3a:02:13:df:d2,24
nttu,48:3a:02:13:df:d3,25
ap-nttu,48:3a:02:14:2b:50,26
ap2-nttu,48:3a:02:14:2b:51,27
eduroam,48:3a:02:14:2b:52,28
ap-nttu,48:3a:02:14:2d:10,29
ap2-nttu,48:3a:02:14:2f:c9,30
eduroam,48:3a:02:14:2f:ca,31
ap-nttu,48:3a:02:14:2f:d0,32
ap2-nttu,48:3a:02:14:2f:d1,33
eduroam,48:3a:02:14:2f:d2,34
nttu,48:3a:02:14:2f:d3,35
ap-nttu,48:3a:02:14:38:c8,36
ap2-nttu,48:3a:02:14:38:c9,37
eduroam,48:3a:02:14:38:ca,38
ap-nttu,48:3a:02:14:3e:08,39
ap2-nttu,48:3a:02:14:3e:09,40
eduroam,48:3a:02:14:3e:0a,41
ap-nttu,48:3a:02:14:3e:10,42
ap2-nttu,48:3a:02:14:3e:11,43
eduroam,48:3a:02:14:3e:12,44
ap-nttu,48:3a:02:14:76:10,45
ap2-nttu,48:3a:02:14:76:11,46
eduroam,48:3a:02:14:76:12,47
nttu,48:3a:02:14:76:13,48
ap-nttu,74:78:a6:00:e2:70,49
ap2-nttu,74:78:a6:00:e2:71,50
eduroam,74:78:a6:00:e2:72,51
nttu,74:78:a6:00:e2:73,52
ap-nttu,74:78:a6:00:ef:30,53
ap2-nttu,74:78:a6:00:ef:31,54
eduroam,74:78:a6:00:ef:32,55
nttu,74:78:a6:00:ef:34,56
ap-nttu,74:78:a6:95:b1:98,57
ap2-nttu,74:78:a6:95:b1:99,58
eduroam,74:78:a6:95:b1:9a,59
nttu,74:78:a6:95:b1:9b,60
ap-nttu,80:80:2c:34:db:58,61
ap2-nttu,80:80:2c:34:db:59,62
eduroam,80:80:2c:34:db:5a,63
nttu,80:80:2c:34:db:5c,64
ap-nttu,80:80:2c:34:e2:38,65
ap2-nttu,80:80:2c:34:e2:39,66
eduroam,80:80:2c:34:e2:3a,67
nttu,80:80:2c:34:e2:3c,68
ap-nttu,80:80:2c:34:e2:f8,69
ap2-nttu,80:80:2c:34:e2:f9,70
eduroam,80:80:2c:34:e2:fa,71
nttu,80:80:2c:34:e2:fc,72
ap-nttu,80:80:2c:34:e7:f8,73
ap2-nttu,80:80:2c:34:e7:f9,74
eduroam,80:80:2c:34:e7:fa,75
nttu,80:80:2c:34:e7:fc,76
ap-nttu,80:80:2c:34:e8:58,77
ap2-nttu,80:80:2c:34:e8:59,78
eduroam,80:80:2c:34:e8:5a,79
nttu,80:80:2c:34:e8:5b,80
nttu,80:80:2c:34:e8:5c,81
ap-nttu,80:80:2c:34:e9:78,82
ap2-nttu,80:80:2c:34:e9:79,83
eduroam,80:80:2c:34:e9:7a,84
nttu,80:80:2c:34:e9:7c,85
ap-nttu,80:80:2c:34:ea:78,86
ap2-nttu,80:80:2c:34:ea:79,87
eduroam,80:80:2c:34:ea:7a,88
nttu,80:80:2c:34:ea:7c,89
ap-nttu,80:80:2c:34:eb:18,90
ap2-nttu,80:80:2c:34:eb:19,91
eduroam,80:80:2c:34:eb:1a,92
nttu,80:80:2c:34:eb:1c,93
ap-nttu,80:80:2c:35:55:98,94
ap2-nttu,80:80:2c:35:55:99,95
eduroam,80:80:2c:35:55:9a,96
nttu,80:80:2c:35:55:9b,97
nttu,80:80:2c:35:55:9c,98
ap-nttu,80:80:2c:35:55:b8,99
ap2-nttu,80:80:2c:35:55:b9,100
eduroam,80:80:2c:35:55:ba,101
nttu,80:80:2c:35:55:bc,102
ap-nttu,80:80:2c:35:76:38,103
ap2-nttu,80:80:2c:35:76:39,104
eduroam,80:80:2c:35:76:3a,105
nttu,80:80:2c:35:76:3c,106
ap-nttu,80:80:2c:35:78:b8,107
ap2-nttu,80:80:2c:35:78:b9,108
eduroam,80:80:2c:35:78:ba,109
nttu,80:80:2c:35:78:bc,110
ap-nttu,80:80:2c:35:79:18,111
ap2-nttu,80:80:2c:35:79:19,112
eduroam,80:80:2c:35:79:1a,113
nttu,80:80:2c:35:79:1c,114
ap-nttu,80:80:2c:35:80:58,115
ap2-nttu,80:80:2c:35:80:59,116
eduroam,80:80:2c:35:80:5a,117
nttu,80:80:2c:35:80:5b,118
nttu,80:80:2c:35:80:5c,119
ap-nttu,80:80:2c:35:91:f8,120
ap2-nttu,80:80:2c:35:91:f9,121
eduroam,80:80:2c:35:91:fa,122
nttu,80:80:2c:35:91:fc,123
ap-nttu,80:80:2c:35:96:18,124
ap2-nttu,80:80:2c:35:96:19,125
eduroam,80:80:2c:35:96:1a,126
nttu,80:80:2c:35:96:1c,127
ap-nttu,80:80:2c:35:9a:d8,128
ap2-nttu,80:80:2c:35:9a:d9,129
eduroam,80:80:2c:35:9a:da,130
nttu,80:80:2c:35:9a:db,131
ap-nttu,80:80:2c:35:a4:f8,132
ap2-nttu,80:80:2c:35:a4:f9,133
eduroam,80:80:2c:35:a4:fa,134
nttu,80:80:2c:35:a4:fb,135
nttu,80:80:2c:35:a4:fc,136
ap-nttu,80:80:2c:35:ac:98,137
ap2-nttu,80:80:2c:35:ac:99,138
eduroam,80:80:2c:35:ac:9a,139
nttu,80:80:2c:35:ac:9b,140
nttu,80:80:2c:35:ac:9c,141
ap-nttu,80:80:2c:35:ae:f8,142
ap2-nttu,80:80:2c:35:ae:f9,143
eduroam,80:80:2c:35:ae:fa,144
nttu,80:80:2c:35:ae:fc,145
ap-nttu,80:80:2c:35:b4:d8,146
ap2-nttu,80:80:2c:35:b4:d9,147
eduroam,80:80:2c:35:b4:da,148
nttu,80:80:2c:35:b4:dc,149
ap-nttu,80:80:2c:35:bd:38,150
ap2-nttu,80:80:2c:35:bd:39,151
eduroam,80:80:2c:35:bd:3a,152
nttu,80:80:2c:35:bd:3b,153
nttu,80:80:2c:35:bd:3c,154
ap-nttu,80:80:2c:35:bf:b8,155
ap2-nttu,80:80:2c:35:bf:b9,156
eduroam,80:80:2c:35:bf:ba,157
nttu,80:80:2c:35:bf:bb,158
nttu,80:80:2c:35:bf:bc,159
ap-nttu,80:80:2c:35:c2:f8,160
ap2-nttu,80:80:2c:35:c2:f9,161
eduroam,80:80:2c:35:c2:fa,162
nttu,80:80:2c:35:c2:fc,163
ap-nttu,80:80:2c:35:d0:b8,164
ap2-nttu,80:80:2c:35:d0:b9,165
eduroam,80:80:2c:35:d0:ba,166
nttu,80:80:2c:35:d0:bb,167
nttu,80:80:2c:35:d0:bc,168
ap-nttu,80:80:2c:35:d6:78,169
ap2-nttu,80:80:2c:35:d6:79,170
eduroam,80:80:2c:35:d6:7a,171
nttu,80:80:2c:35:d6:7b,172
nttu,80:80:2c:35:d6:7c,173
ap-nttu,80:80:2c:35:d6:98,174
ap2-nttu,80:80:2c:35:d6:99,175
eduroam,80:80:2c:35:d6:9a,176
nttu,80:80:2c:35:d6:9b,177
nttu,80:80:2c:35:d6:9c,178
ap-nttu,80:80:2c:35:d6:b8,179
ap2-nttu,80:80:2c:35:d6:b9,180
eduroam,80:80:2c:35:d6:ba,181
nttu,80:80:2c:35:d6:bc,182
ap-nttu,80:80:2c:36:2e:38,183
ap2-nttu,80:80:2c:36:2e:39,184
eduroam,80:80:2c:36:2e:3a,185
nttu,80:80:2c:36:2e:3b,186
ap-nttu,80:80:2c:36:7d:38,187
ap2-nttu,80:80:2c:36:7d:39,188
eduroam,80:80:2c:36:7d:3a,189
nttu,80:80:2c:36:7d:3b,190
nttu,80:80:2c:36:7d:3c,191
ap-nttu,80:80:2c:36:7e:98,192
ap2-nttu,80:80:2c:36:7e:99,193
eduroam,80:80:2c:36:7e:9a,194
nttu,80:80:2c:36:7e:9b,195
nttu,80:80:2c:36:7e:9c,196
ap-nttu,80:80:2c:36:8c:38,197
ap2-nttu,80:80:2c:36:8c:39,198
eduroam,80:80:2c:36:8c:3a,199
nttu,80:80:2c:36:8c:3b,200
nttu,80:80:2c:36:8c:3c,201
ap-nttu,80:80:2c:36:c0:f8,202
ap2-nttu,80:80:2c:36:c0:f9,203
eduroam,80:80:2c:36:c0:fa,204
nttu,80:80:2c:36:c0:fb,205
nttu,80:80:2c:36:c0:fc,206
ap-nttu,80:80:2c:36:cb:f8,207
ap2-nttu,80:80:2c:36:cb:f9,208
eduroam,80:80:2c:36:cb:fa,209
nttu,80:80:2c:36:cb:fc,210
ap-nttu,80:80:2c:36:de:b8,211
ap2-nttu,80:80:2c:36:de:b9,212
eduroam,80:80:2c:36:de:ba,213
nttu,80:80:2c:36:de:bc,214
ap-nttu,80:80:2c:36:e8:78,215
ap2-nttu,80:80:2c:36:e8:79,216
eduroam,80:80:2c:36:e8:7a,217
nttu,80:80:2c:36:e8:7c,218
ap-nttu,80:80:2c:36:e9:b8,219
ap2-nttu,80:80:2c:36:e9:b9,220
eduroam,80:80:2c:36:e9:ba,221
nttu,80:80:2c:36:e9:bc,222
ap-nttu,80:80:2c:37:11:58,223
ap2-nttu,80:80:2c:37:11:59,224
eduroam,80:80:2c:37:11:5a,225
nttu,80:80:2c:37:11:5b,226
